movieId,avg_rating,rating_count,clean_title,genres,year,weighted_score
318,4.429022082018927,317,"Shawshank Redemption, The",Crime|Drama,1994.0,4.270088320818933
2959,4.272935779816514,218,Fight Club,Action|Crime|Drama|Thriller,1999.0,4.084411991569209
858,4.2890625,192,"Godfather, The",Crime|Drama,1972.0,4.076952122894827
260,4.231075697211155,251,Star Wars: Episode IV - A New Hope,Action|Adventure|Sci-Fi,1977.0,4.070174132028399
296,4.197068403908795,307,Pulp Fiction,Comedy|Crime|Drama|Thriller,1994.0,4.066169226164001
2571,4.192446043165468,278,"Matrix, The",Action|Sci-Fi|Thriller,1999.0,4.050678090672403
527,4.225,220,Schindler's List,Drama|War,1993.0,4.0467496805205485
50,4.237745098039215,204,"Usual Suspects, The",Crime|Mystery|Thriller,1995.0,4.045757534411607
356,4.164133738601824,329,Forrest Gump,Comedy|Drama|Romance|War,1994.0,4.045177872666354
1196,4.2156398104265405,211,Star Wars: Episode V - The Empire Strikes Back,Action|Adventure|Sci-Fi,1980.0,4.03303606797145
593,4.161290322580645,279,"Silence of the Lambs, The",Crime|Horror|Thriller,1991.0,4.024688187661241
1198,4.2075,200,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark),Action|Adventure,1981.0,4.018489654962192
58559,4.238255033557047,149,"Dark Knight, The",Action|Crime|Drama|IMAX,2008.0,3.9930774559826534
1221,4.25968992248062,129,"Godfather: Part II, The",Crime|Drama,1974.0,3.9811308030198216
1197,4.232394366197183,142,"Princess Bride, The",Action|Adventure|Comedy|Fantasy|Romance,1987.0,3.979804238232022
1213,4.25,126,Goodfellas,Crime|Drama,1990.0,3.969445532616751
2028,4.1462765957446805,188,Saving Private Ryan,Action|Drama|War,1998.0,3.9605983770611264
1210,4.137755102040816,196,Star Wars: Episode VI - Return of the Jedi,Action|Adventure|Sci-Fi,1983.0,3.959847210327431
2329,4.217054263565892,129,American History X,Crime|Drama,1998.0,3.9504045460365815
1193,4.203007518796992,133,One Flew Over the Cuckoo's Nest,Drama,1975.0,3.9460241188008096
1089,4.202290076335878,131,Reservoir Dogs,Crime|Mystery|Thriller,1992.0,3.9426652692847965
48516,4.252336448598131,107,"Departed, The",Crime|Drama|Thriller,2006.0,3.9370854378378857
7153,4.118918918918919,185,"Lord of the Rings: The Return of the King, The",Action|Adventure|Drama|Fantasy,2003.0,3.936691122300205
4993,4.106060606060606,198,"Lord of the Rings: The Fellowship of the Ring, The",Adventure|Fantasy,2001.0,3.935977474760275
608,4.116022099447513,181,Fargo,Comedy|Crime|Drama|Thriller,1996.0,3.9312658603486925
750,4.268041237113402,97,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,Comedy|War,1964.0,3.9260028145615515
1136,4.161764705882353,136,Monty Python and the Holy Grail,Adventure|Comedy|Fantasy,1975.0,3.9200129770997214
4226,4.122641509433962,159,Memento,Mystery|Thriller,2000.0,3.9168536542609957
1208,4.219626168224299,107,Apocalypse Now,Action|Drama|War,1979.0,3.914792444207313
912,4.24,100,Casablanca,Drama|Romance,1942.0,3.9141494249369875
4973,4.183333333333334,120,"Amelie (Fabuleux destin d'Amélie Poulain, Le)",Comedy|Romance,2001.0,3.912484786709107
7361,4.1603053435114505,131,Eternal Sunshine of the Spotless Mind,Drama|Romance|Sci-Fi,2004.0,3.912278528953305
2858,4.056372549019608,204,American Beauty,Drama|Romance,1999.0,3.9000882430730246
110,4.031645569620253,237,Braveheart,Action|Drama|War,1995.0,3.8976390722667187
904,4.261904761904762,84,Rear Window,Mystery|Thriller,1954.0,3.888973236869762
3147,4.148648648648648,111,"Green Mile, The",Crime|Drama,1999.0,3.87343114124564
1704,4.078014184397163,141,Good Will Hunting,Drama|Romance,1997.0,3.8645152551861153
1270,4.038011695906433,171,Back to the Future,Adventure|Comedy|Sci-Fi,1985.0,3.862544858554517
5952,4.0212765957446805,188,"Lord of the Rings: The Two Towers, The",Adventure|Fantasy,2002.0,3.8618588812628074
541,4.100806451612903,124,Blade Runner,Action|Sci-Fi|Thriller,1982.0,3.8598989295433803
79132,4.066433566433567,143,Inception,Action|Crime|Drama|Mystery|Sci-Fi|Thriller|IMAX,2010.0,3.8581472214536174
4011,4.155913978494624,93,Snatch,Comedy|Crime|Thriller,2000.0,3.843513382801036
589,3.970982142857143,224,Terminator 2: Judgment Day,Action|Sci-Fi,1991.0,3.8416876413888614
1291,4.046428571428572,140,Indiana Jones and the Last Crusade,Action|Adventure,1989.0,3.8401179670555163
457,3.9921052631578946,190,"Fugitive, The",Thriller,1993.0,3.840093390585617
47,3.9753694581280787,203,Seven (a.k.a. Se7en),Mystery|Thriller,1995.0,3.8344759436385303
111,4.105769230769231,104,Taxi Driver,Crime|Drama|Thriller,1976.0,3.8319637255879755
5618,4.155172413793103,87,Spirited Away (Sen to Chihiro no kamikakushi),Adventure|Animation|Fantasy,2001.0,3.8293606842375776
2324,4.1477272727272725,88,Life Is Beautiful (La Vita è bella),Comedy|Drama|Romance|War,1997.0,3.8269740126126672
1258,4.08256880733945,109,"Shining, The",Horror,1980.0,3.8246692688084787
32,3.983050847457627,177,Twelve Monkeys (a.k.a. 12 Monkeys),Mystery|Sci-Fi|Thriller,1995.0,3.824327813835014
1222,4.098039215686274,102,Full Metal Jacket,Drama|War,1987.0,3.823173774608869
68157,4.136363636363637,88,Inglourious Basterds,Action|Drama|War,2009.0,3.8197276358010734
1225,4.184210526315789,76,Amadeus,Drama,1984.0,3.8184318550837153
293,4.018796992481203,133,Léon: The Professional (a.k.a. The Professional) (Léon),Action|Crime|Drama|Thriller,1994.0,3.8121443373800448
2502,4.090425531914893,94,Office Space,Comedy|Crime,1999.0,3.8029334287538066
1276,4.271929824561403,57,Cool Hand Luke,Drama,1967.0,3.80020947421073
60069,4.0576923076923075,104,WALL·E,Adventure|Animation|Children|Romance|Sci-Fi,2008.0,3.7994961931204427
1,3.9209302325581397,215,Toy Story,Adventure|Animation|Children|Comedy|Fantasy,1995.0,3.796688353737918
6016,4.1466666666666665,75,City of God (Cidade de Deus),Action|Adventure|Crime|Drama|Thriller,2002.0,3.792979309924385
1617,4.061855670103093,97,L.A. Confidential,Crime|Film-Noir|Mystery|Thriller,1997.0,3.7899483927928443
1214,3.969178082191781,146,Alien,Horror|Sci-Fi,1979.0,3.788889866023205
